Date,Ticker,Foreign Buy (Lot),Foreign Sell (Lot),Net Foreign (Lot),Net Foreign (Rp M)
2026-06-03,BBRI,,,,
2026-06-04,BBRI,,,,
2026-06-05,BBRI,,,,
2026-06-06,BBRI,,,,
2026-06-07,BBRI,,,,
2026-06-08,BBRI,,,,
2026-06-09,BBRI,,,,
2026-06-10,BBRI,,,,
2026-06-11,BBRI,,,,
2026-06-12,BBRI,,,,
2026-06-03,BBCA,,,,
2026-06-04,BBCA,,,,
2026-06-05,BBCA,,,,
2026-06-06,BBCA,,,,
2026-06-07,BBCA,,,,
2026-06-08,BBCA,,,,
2026-06-09,BBCA,,,,
2026-06-10,BBCA,,,,
2026-06-11,BBCA,,,,
2026-06-12,BBCA,,,,
2026-06-03,TPIA,,,,
2026-06-04,TPIA,,,,
2026-06-05,TPIA,,,,
2026-06-06,TPIA,,,,
2026-06-07,TPIA,,,,
2026-06-08,TPIA,,,,
2026-06-09,TPIA,,,,
2026-06-10,TPIA,,,,
2026-06-11,TPIA,,,,
2026-06-12,TPIA,,,,
2026-06-03,TLKM,,,,
2026-06-04,TLKM,,,,
2026-06-05,TLKM,,,,
2026-06-06,TLKM,,,,
2026-06-07,TLKM,,,,
2026-06-08,TLKM,,,,
2026-06-09,TLKM,,,,
2026-06-10,TLKM,,,,
2026-06-11,TLKM,,,,
2026-06-12,TLKM,,,,
2026-06-03,ADRO,,,,
2026-06-04,ADRO,,,,
2026-06-05,ADRO,,,,
2026-06-06,ADRO,,,,
2026-06-07,ADRO,,,,
2026-06-08,ADRO,,,,
2026-06-09,ADRO,,,,
2026-06-10,ADRO,,,,
2026-06-11,ADRO,,,,
2026-06-12,ADRO,,,,
